areaNm,areaNm_full,cropsSpchcknCode,crpstDsgnRegistId,exam1,exam2,exam3,exam4,exam5,exam6,exam7,examForm,examinTmrd,exprAreaCode,exprSpchcknCode,exprYear,pajong,rnum,sortSn,spciesCode,spciesNm,srchExaminTmrd,totCnt
진주,진주(경상남도 농업기술원),001,00122018001959, , , , ,81.8,14.4,342.72,1,6,0335,002,2018,2018-05-10,14,6,R32069,주남,6,75
진주,진주(경상남도 농업기술원),001,00122018001957, , , , ,86.1,14.4,342.72,1,6,0335,002,2018,2018-05-10,15,6,R32093,새일미,6,75
철원,철원(국립식량과학원),001,00122018001893,16.1,462.3,71.3,32959, , , ,1,6,0331,002,2018,2018-04-20,16,8,R12004,진부벼,6,75
운봉,운봉(국립식량과학원),001,00122018001901,21.3,593,81.4,48215, , , ,1,6,0330,002,2018,2018-04-20,17,8,R12004,진부벼,6,75
진부,진부(국립식량과학원),001,00122018001962,18.4,480,70,33600, , , ,1,6,0336,002,2018,2018-04-20,18,8,R12004,진부벼,6,75
상주,상주(국립식량과학원),001,00122018001905,15.6,434,100,43175, , , ,1,6,0329,002,2018,2018-04-25,19,8,R12005,상주벼,6,75
제천,제천(충청북도 농업기술원),001,00122018001929,15.6,433.7,90.7,39335, , , ,1,6,0337,002,2018,2018-04-20,20,8,R12005,상주벼,6,75
제천,제천(충청북도 농업기술원),001,00122018001928,15.4,428.1,79.5,34036, , , ,1,6,0337,002,2018,2018-04-20,21,8,R12016,상미,6,75
운봉,운봉(국립식량과학원),001,00122018001900,21.4,596,77,45879, , , ,1,6,0330,002,2018,2018-04-20,22,8,R12019,삼천벼,6,75
철원,철원(국립식량과학원),001,00122018001892,16.5,424.3,80.7,34244, , , ,1,6,0331,002,2018,2018-04-20,23,8,R12072,태봉,6,75
철원,철원(국립식량과학원),001,00122018001891,16.3,454.1,90,40872, , , ,1,6,0331,002,2018,2018-04-20,24,8,R12079,운광,6,75
